,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_lr_all,param_reg_all
0,0.7116997779692201,0.7112663738140241,0.7144357044340837,0.7147063859833017,0.7129712328218374,0.7130158950044934,0.0013905827356028005,87,0.49486455917358396,0.11185465968979134,0.8925586700439453,0.025699355375782933,"{'n_factors': 4, 'n_epochs': 5, 'lr_all': 0.001, 'reg_all': 0.005}",4,5,0.001,0.005
1,0.7116541447881474,0.7112431850308684,0.7144280895258737,0.7147887140491486,0.7130196192493128,0.7130267505286702,0.0014236200119126135,88,0.44953341484069825,0.011509817785959114,0.915613842010498,0.033154889649250036,"{'n_factors': 4, 'n_epochs': 5, 'lr_all': 0.001, 'reg_all': 0.02}",4,5,0.001,0.02
2,0.7119839624698723,0.7113883758133059,0.7146780233367205,0.7151139041048458,0.7133330634144677,0.7132994658278424,0.001454410533010385,91,0.4469291687011719,0.010034730968867547,0.9483351707458496,0.05444319909707242,"{'n_factors': 4, 'n_epochs': 5, 'lr_all': 0.001, 'reg_all': 0.1}",4,5,0.001,0.1
3,0.6989398927514386,0.6986510083039972,0.7016935851495215,0.7020912438201398,0.7003998928798306,0.7003551245809855,0.0013938783536254454,55,0.44865074157714846,0.010015695066580373,0.924027395248413,0.03911634256890222,"{'n_factors': 4, 'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.005}",4,5,0.005,0.005
4,0.6989336258224793,0.6984228611592876,0.7016917722995872,0.702121338519705,0.7005473369238061,0.7003433869449731,0.0014626480216698306,54,0.43875985145568847,0.0075737290314218594,0.9457386016845704,0.04640225683782562,"{'n_factors': 4, 'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.02}",4,5,0.005,0.02
5,0.6994403965891423,0.6988514912264269,0.7021309746966599,0.7026971480025577,0.7008484012071641,0.7007936823443901,0.0014844537834003296,57,0.4459207534790039,0.015294682529988312,0.9067555427551269,0.030340726547855013,"{'n_factors': 4, 'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.1}",4,5,0.005,0.1
6,0.6873547015560882,0.6870483722717234,0.690127793471932,0.6907567055870736,0.6889783691273658,0.6888531884028366,0.0014674120119207755,17,0.4438471794128418,0.010210211300466199,0.9182210445404053,0.027036403632186044,"{'n_factors': 4, 'n_epochs': 5, 'lr_all': 0.02, 'reg_all': 0.005}",4,5,0.02,0.005
7,0.6872696819383688,0.6867580002434226,0.6901117100533457,0.6906249092120564,0.6889014665073366,0.688733153590906,0.0015198991092819829,14,0.4422732353210449,0.012649958374703393,0.9371569156646729,0.04730214999774624,"{'n_factors': 4, 'n_epochs': 5, 'lr_all': 0.02, 'reg_all': 0.02}",4,5,0.02,0.02
8,0.6873910895143721,0.686767556813837,0.690177247017783,0.6908739957128309,0.6890063958471444,0.6888432569811934,0.001571455697112351,16,0.446828556060791,0.006924515968077656,0.9335593223571778,0.03151656092691153,"{'n_factors': 4, 'n_epochs': 5, 'lr_all': 0.02, 'reg_all': 0.1}",4,5,0.02,0.1
9,0.7007293304397176,0.7004624083982237,0.7035594155095023,0.7039453693114547,0.7022465640074788,0.7021886175332754,0.0014197139497093482,62,1.358532190322876,0.03480089109507624,0.9444390773773194,0.049015873580449114,"{'n_factors': 4, 'n_epochs': 20, 'lr_all': 0.001, 'reg_all': 0.005}",4,20,0.001,0.005
10,0.7009255975941242,0.700592184219578,0.7036695765167911,0.7040665719572998,0.7024444586582327,0.7023396777892051,0.0014010802759268665,63,1.357740545272827,0.03558680974831437,0.9264267444610595,0.05980849711004568,"{'n_factors': 4, 'n_epochs': 20, 'lr_all': 0.001, 'reg_all': 0.02}",4,20,0.001,0.02
11,0.7012878345393122,0.7008113757981009,0.7039529344350482,0.7044771356087837,0.7028463444352887,0.7026751249633068,0.0014357918506094503,66,1.3529350280761718,0.023638069764572115,0.9657223224639893,0.04213598566854194,"{'n_factors': 4, 'n_epochs': 20, 'lr_all': 0.001, 'reg_all': 0.1}",4,20,0.001,0.1
12,0.6867800170779711,0.6864121116194339,0.6894909762851792,0.6899524647418044,0.6881259399199162,0.6881523019288609,0.0014103019652464178,11,1.3753678798675537,0.017696033638021313,0.9458265781402588,0.044791970603287885,"{'n_factors': 4, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.005}",4,20,0.005,0.005
13,0.6864741361073343,0.686080970838179,0.6893172619373809,0.68977709881012,0.6879742559203877,0.6879247447226804,0.0014748924509451692,9,1.3313562870025635,0.019653033898641325,0.7720786571502686,0.04022056485834966,"{'n_factors': 4, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.02}",4,20,0.005,0.02
14,0.6866972175939318,0.6861218775378451,0.6894084149300069,0.6899707554755872,0.6882428593478034,0.6880882249770349,0.0014907822221898307,10,1.3407535552978516,0.01670765415868877,0.8034204006195068,0.04576738074121476,"{'n_factors': 4, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.1}",4,20,0.005,0.1
