,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_lr_all,param_reg_all
0,0.7262864821890204,0.7337103233344536,0.726167923902332,0.7232229449014838,0.7252388795352773,0.7269253107725134,0.0035656611071942417,92,0.23092641830444335,0.07387634447875308,0.10119590759277344,0.004393473861083759,"{'n_factors': 4, 'n_epochs': 5, 'lr_all': 0.001, 'reg_all': 0.005}",4,5,0.001,0.005
1,0.7263330071897433,0.7337695491905681,0.7261770634566032,0.7232801284770435,0.7252586444216086,0.7269636785471134,0.0035724520252877466,94,0.04827971458435058,0.012152889450965048,0.07707915306091309,0.015031836929832267,"{'n_factors': 4, 'n_epochs': 5, 'lr_all': 0.001, 'reg_all': 0.02}",4,5,0.001,0.02
2,0.7265664303201913,0.7340661528143713,0.7264595533350221,0.7235375336522263,0.7255036128223789,0.727226656588838,0.0035883579144081554,98,0.044199466705322266,0.0013809294907787678,0.06706724166870118,0.003292540673783435,"{'n_factors': 4, 'n_epochs': 5, 'lr_all': 0.001, 'reg_all': 0.1}",4,5,0.001,0.1
3,0.7173197119371574,0.7239483162352487,0.7168455481967889,0.7145453365580405,0.7162716015202576,0.7177861028894986,0.003220910361419253,60,0.04471864700317383,0.0030981073537746464,0.06890082359313965,0.005316594919592649,"{'n_factors': 4, 'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.005}",4,5,0.005,0.005
4,0.7173466592144815,0.7239904946872365,0.7168607980618952,0.7145432499025612,0.7163021332452624,0.7178086670222873,0.003232939623525223,61,0.04290647506713867,0.0005598209865084743,0.06378068923950195,0.010270953491624329,"{'n_factors': 4, 'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.02}",4,5,0.005,0.02
5,0.7175367049543026,0.7244040604390923,0.7170976258884124,0.7147395559667571,0.7165491323341902,0.7180654159165509,0.003309230348920716,68,0.04424009323120117,0.0032130318111645005,0.04611458778381348,0.0011092861811065474,"{'n_factors': 4, 'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.1}",4,5,0.005,0.1
6,0.7143473606574415,0.7200508918283943,0.7132672878126753,0.7112535322314908,0.7140119693612076,0.7145862083782418,0.002935842150054532,12,0.04294118881225586,0.0012030480127557701,0.04667873382568359,0.0015081450265799316,"{'n_factors': 4, 'n_epochs': 5, 'lr_all': 0.02, 'reg_all': 0.005}",4,5,0.02,0.005
7,0.7142984634072789,0.7200276605348787,0.7132885021151508,0.71118424169186,0.7139552581258687,0.7145508251750073,0.0029441961886876172,9,0.04348244667053223,0.0018533868247699182,0.04718794822692871,0.0022088318082356347,"{'n_factors': 4, 'n_epochs': 5, 'lr_all': 0.02, 'reg_all': 0.02}",4,5,0.02,0.02
8,0.7144636754403313,0.7203082944535423,0.7134458385428271,0.7111587071576261,0.7141339589945861,0.7147020949177826,0.003031266151549546,15,0.04449462890625,0.0033100659418200807,0.04611172676086426,0.0016138179563103293,"{'n_factors': 4, 'n_epochs': 5, 'lr_all': 0.02, 'reg_all': 0.1}",4,5,0.02,0.1
9,0.7181175691255197,0.7247442578310002,0.717623776497409,0.7152655620321009,0.7169643040291145,0.7185430939030288,0.0032470122426946683,72,0.12289090156555176,0.0018229911960338113,0.04452748298645019,0.0007895061155436995,"{'n_factors': 4, 'n_epochs': 20, 'lr_all': 0.001, 'reg_all': 0.005}",4,20,0.001,0.005
10,0.7181105120388733,0.7247978447041692,0.7176692306171006,0.7152867084208053,0.7169709174691808,0.7185670426500259,0.003260232787137286,74,0.12381515502929688,0.004103792851869835,0.045202445983886716,0.0009668249071208835,"{'n_factors': 4, 'n_epochs': 20, 'lr_all': 0.001, 'reg_all': 0.02}",4,20,0.001,0.02
11,0.7183412950236583,0.7251991448775363,0.7179243495736135,0.7155015117075507,0.717235472529303,0.7188403547423323,0.0033240294157572707,79,0.1264486312866211,0.006389660456145744,0.048196935653686525,0.0031329272185127797,"{'n_factors': 4, 'n_epochs': 20, 'lr_all': 0.001, 'reg_all': 0.1}",4,20,0.001,0.1
12,0.7140334346833516,0.7196645507573846,0.7128359421642079,0.7112220862650716,0.7140796986338963,0.7143671425007824,0.0028457853860630895,3,0.13235645294189452,0.005410250850146262,0.04737486839294434,0.002462081399886934,"{'n_factors': 4, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.005}",4,20,0.005,0.005
13,0.7140041483085603,0.7197206734672656,0.7128313140948409,0.711133567291222,0.7140521852875428,0.7143483776898862,0.0028880537937024018,2,0.12271828651428222,0.0023678280078698773,0.04542455673217773,0.0014164765386033757,"{'n_factors': 4, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.02}",4,20,0.005,0.02
14,0.7141339193714267,0.7199896636034439,0.712959145480077,0.7111220169236854,0.7140920863621125,0.7144593663481491,0.0029736698501578434,6,0.12426581382751464,0.0051467424813629505,0.04446225166320801,0.0009132930617632299,"{'n_factors': 4, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.1}",4,20,0.005,0.1
15,0.7207662066466693,0.7247353558727325,0.7184378737825483,0.717505326594731,0.7214102775874377,0.7205710080968237,0.002531123593405374,90,0.12593579292297363,0.003486528038954755,0.04816379547119141,0.0014214179096760466,"{'n_factors': 4, 'n_epochs': 20, 'lr_all': 0.02, 'reg_all': 0.005}",4,20,0.02,0.005
16,0.7204117928413561,0.7245608633740169,0.718178538192363,0.7173946581351712,0.7212480865855541,0.7203587878256923,0.002529452668688072,89,0.12418122291564941,0.003868277870737319,0.04690699577331543,0.0014201244460077824,"{'n_factors': 4, 'n_epochs': 20, 'lr_all': 0.02, 'reg_all': 0.02}",4,20,0.02,0.02
17,0.7198423046327437,0.7243956177149985,0.7177086999563619,0.716753413337355,0.7205735950380271,0.7198547261358972,0.002659330463217981,86,0.12260093688964843,0.0033417065004637536,0.05449867248535156,0.013093915951967235,"{'n_factors': 4, 'n_epochs': 20, 'lr_all': 0.02, 'reg_all': 0.1}",4,20,0.02,0.1
18,0.7152631095975218,0.7215638156088918,0.7144421039920119,0.7126269996401979,0.7148078561368167,0.7157407769950881,0.003045929977957157,34,0.28545117378234863,0.009863287474875136,0.06385841369628906,0.009775156559128667,"{'n_factors': 4, 'n_epochs': 50, 'lr_all': 0.001, 'reg_all': 0.005}",4,50,0.001,0.005
19,0.7152189823367834,0.7215769833416894,0.7144445507235744,0.7126108425429959,0.7147903241400834,0.7157283366170253,0.0030565618993063336,32,0.27932238578796387,0.0025463008523253913,0.06198515892028809,0.009337061738920394,"{'n_factors': 4, 'n_epochs': 50, 'lr_all': 0.001, 'reg_all': 0.02}",4,50,0.001,0.02
20,0.7153702060404556,0.7218616822797418,0.714575712055619,0.7126079262028672,0.7149514118963356,0.7158733876950037,0.0031403854542423927,39,0.28083024024963377,0.007629098397110573,0.06858372688293457,0.0070989893557661075,"{'n_factors': 4, 'n_epochs': 50, 'lr_all': 0.001, 'reg_all': 0.1}",4,50,0.001,0.1
21,0.7163713755282682,0.7208674962019985,0.7144557390584128,0.713476101943519,0.717026608552238,0.7164394642568873,0.0025563068387346607,51,0.2881903648376465,0.01270377835195396,0.07441401481628418,0.012791290470928354,"{'n_factors': 4, 'n_epochs': 50, 'lr_all': 0.005, 'reg_all': 0.005}",4,50,0.005,0.005
22,0.7162863160858743,0.7207716073597593,0.7143794551761856,0.7132835641687718,0.7168437602374156,0.7163129406056014,0.0025720682367691796,50,0.2894580841064453,0.009669312873711627,0.06170334815979004,0.01746580258592051,"{'n_factors': 4, 'n_epochs': 50, 'lr_all': 0.005, 'reg_all': 0.02}",4,50,0.005,0.02
23,0.7161266171892137,0.7208955994120997,0.7141845682905742,0.713024589039558,0.7166514436567537,0.7161765635176398,0.0026981583960390475,48,0.28299965858459475,0.006715917156802034,0.04503173828125,0.0005967978014298408,"{'n_factors': 4, 'n_epochs': 50, 'lr_all': 0.005, 'reg_all': 0.1}",4,50,0.005,0.1
24,0.7291692645955337,0.7334004487537568,0.7263359658411661,0.7268999566668141,0.7312362734024718,0.7294083818519486,0.0026482786780862564,108,0.2812352180480957,0.005291220856373984,0.04599003791809082,0.0013471841877534868,"{'n_factors': 4, 'n_epochs': 50, 'lr_all': 0.02, 'reg_all': 0.005}",4,50,0.02,0.005
25,0.7288817685873438,0.7330751595203545,0.7259579914238776,0.7264354517067271,0.7306200028155035,0.7289940748107613,0.002648617053932399,107,0.2820426940917969,0.006252883626237647,0.04620227813720703,0.0013812936264008526,"{'n_factors': 4, 'n_epochs': 50, 'lr_all': 0.02, 'reg_all': 0.02}",4,50,0.02,0.02
26,0.7273424113513369,0.7319078943375098,0.7243677718539748,0.7245269453342758,0.7286970007066702,0.7273684047167535,0.0028089321093924917,103,0.28122506141662595,0.004828993618521138,0.04536123275756836,0.00046615468401963394,"{'n_factors': 4, 'n_epochs': 50, 'lr_all': 0.02, 'reg_all': 0.1}",4,50,0.02,0.1
