,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_epochs,param_lr_all,param_reg_all
0,0.9836513406905888,0.9914913151332715,0.9932756140776002,0.9836376406048871,0.9839076195078188,0.9871927060028334,0.004276712818053624,16,0.5753792762756348,0.021210441653404688,0.2761031150817871,0.07075786642900043,"{'n_epochs': 5, 'lr_all': 0.002, 'reg_all': 0.3}",5,0.002,0.3
1,0.9896232842695963,0.9987069732632823,0.9999611465526932,0.9899514866435268,0.9915598439605491,0.9939605469379295,0.004453842055631964,17,0.49510650634765624,0.010463111246963766,0.30121488571166993,0.06478558003456522,"{'n_epochs': 5, 'lr_all': 0.002, 'reg_all': 0.5}",5,0.002,0.5
2,0.9965209074763924,1.0051879314426124,1.0065595753115246,0.9966247061613516,0.99914215410088,1.0008070548985522,0.004264236525946969,18,0.49375286102294924,0.007188959453236977,0.2755638599395752,0.07093837541618553,"{'n_epochs': 5, 'lr_all': 0.002, 'reg_all': 0.7}",5,0.002,0.7
3,0.9612927737115191,0.9678736511162069,0.9715823563827064,0.96268932239988,0.9612513471219455,0.9649378901464516,0.004115851169392314,5,0.48935365676879883,0.010853118153703564,0.26518402099609373,0.0652762117040969,"{'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.3}",5,0.005,0.3
4,0.9698725271589169,0.9775405843379626,0.9802024192592022,0.9712315793043361,0.9714443001734324,0.97405828204677,0.004055133658508576,10,0.5024959564208984,0.01735204243878298,0.2726284027099609,0.06284584699656795,"{'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.5}",5,0.005,0.5
5,0.9790427414403919,0.987084986892349,0.9888232546966426,0.9799029913615075,0.9810458591441914,0.9831799667070165,0.00398761827143196,14,0.48624382019042967,0.012915818336094152,0.2704399585723877,0.0599576729367015,"{'n_epochs': 5, 'lr_all': 0.005, 'reg_all': 0.7}",5,0.005,0.7
6,0.9549420011742081,0.9612749397213485,0.9649090250877576,0.9567747796145702,0.9548377510553256,0.958547699330642,0.003944929029965226,3,0.4949967384338379,0.007719737207409546,0.27691168785095216,0.06274530996214514,"{'n_epochs': 5, 'lr_all': 0.008, 'reg_all': 0.3}",5,0.008,0.3
7,0.9645949260894511,0.9716625181081353,0.9744989640683654,0.9660743941198342,0.9656596271008078,0.9684980858973187,0.0038778849054114154,7,0.49640893936157227,0.01381590297981023,0.27923898696899413,0.06445382704254952,"{'n_epochs': 5, 'lr_all': 0.008, 'reg_all': 0.5}",5,0.008,0.5
8,0.9741395011679883,0.9819196921147642,0.9838930371431074,0.9754580866894124,0.9762429884830485,0.9783306611196642,0.0038470002117365785,13,0.4889965057373047,0.010003151425408757,0.2938558578491211,0.06941040938664655,"{'n_epochs': 5, 'lr_all': 0.008, 'reg_all': 0.7}",5,0.008,0.7
9,0.9650508189291163,0.9725029124583991,0.9756525800684261,0.966299995203882,0.9656194384682508,0.9690251490256149,0.004262354001962084,8,0.9933694362640381,0.04181106103090724,0.2748541831970215,0.06343937730586989,"{'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.3}",10,0.002,0.3
10,0.9735348177785859,0.9812921719528118,0.9839268726389914,0.974197828674246,0.9747042661811843,0.9775311914451639,0.004245551285889076,12,1.048920202255249,0.038068265671335956,0.3020524024963379,0.08906063344367515,"{'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.5}",10,0.002,0.5
11,0.9819943861992626,0.9903778321535747,0.9921814136107137,0.9824995130558085,0.9840654441888531,0.9862237178416425,0.004222934931580108,15,0.9699552536010743,0.0140280760335838,0.2641815185546875,0.07113845474902233,"{'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.7}",10,0.002,0.7
12,0.9521399396833011,0.958373495166398,0.9623446294161471,0.9539866141178245,0.9517926659755408,0.9557274688718425,0.004053933487529071,2,0.9604086399078369,0.02810527757891365,0.27303371429443357,0.06910333908350741,"{'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.3}",10,0.005,0.3
13,0.9619141452709759,0.9688313872327294,0.9720045743645643,0.9632995658629818,0.9629182626575353,0.9657935870777573,0.003932996158958359,6,0.9586926937103272,0.02838323522275081,0.2653071880340576,0.06592853615400214,"{'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.5}",10,0.005,0.5
14,0.971644427515049,0.9793230307936345,0.9817615818228154,0.9728984547731994,0.9736977640962373,0.975865051800187,0.00395065028306485,11,0.9637614727020264,0.009687153741719886,0.2723661422729492,0.0739770257717655,"{'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.7}",10,0.005,0.7
15,0.9493318036215651,0.9550459185797395,0.9595675058298713,0.9513815715849472,0.9490185503372446,0.9528690699906737,0.003978922440713663,1,0.9663734912872315,0.01794708140415742,0.30914011001586916,0.08470891733124783,"{'n_epochs': 10, 'lr_all': 0.008, 'reg_all': 0.3}",10,0.008,0.3
16,0.9594312056196345,0.9659329261974725,0.9694687340366923,0.9610638114917012,0.9605702954032338,0.9632933945497468,0.0038053845536218885,4,0.9798247337341308,0.022152776812733716,0.27402644157409667,0.0693819075206319,"{'n_epochs': 10, 'lr_all': 0.008, 'reg_all': 0.5}",10,0.008,0.5
